"relpath","listed","writable","writableVia","ownWritable","mirrored","generated","disabled","ext","isDefault"
"custom-ce/maps/dayzOffline.enoch/expansion_types_tuning.xml","True","True","types-write","False","True","False","False",".xml","False"
"custom-ce/maps/dayzOffline.enoch/expansion_types.xml","True","False","none","False","False","False","False",".xml","False"
"dayzsetting.xml","False","False","none","False","False","False","False",".xml","False"
"docs/EULA.txt","False","False","none","False","False","False","False",".txt","False"
"docs/LegalNotices.txt","False","False","none","False","False","False","False",".txt","False"
"host.env","False","False","none","False","False","False","False",".env","False"
"map.defaults.env","False","False","none","False","False","False","False",".env","True"
"map.env","True","False","none","False","False","False","False",".env","False"
"messages.defaults.xml","False","False","none","False","False","False","False",".xml","True"
"messages.xml","True","True","own-write","True","True","False","False",".xml","False"
"mods.conf","True","False","none","False","False","False","False",".conf","False"
"mpmissions/dayzOffline.chernarusplus/cfgeconomycore.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/cfgeconomycore.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgeffectarea.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.chernarusplus/cfgenvironment.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgeventgroups.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgeventspawns.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfggameplay.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.chernarusplus/cfgignorelist.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfglimitsdefinition.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfglimitsdefinitionuser.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgplayerspawnpoints.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/cfgplayerspawnpoints.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgrandompresets.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgspawnabletypes.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/cfgspawnabletypes.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/cfgundergroundtriggers.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.chernarusplus/cfgweather.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/cfgweather.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/db/economy.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/db/events.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/db/events.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/db/globals.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/db/globals.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/db/messages.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/db/types.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.chernarusplus/db/types.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/bear_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/cattle_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/domestic_animals_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/fox_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/hare_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/hen_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/pig_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/red_deer_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/roe_deer_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/sheep_goat_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/wild_boar_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/wolf_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/env/zombie_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapclusterproto.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupcluster.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupcluster01.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupcluster02.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupcluster03.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupcluster04.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupdirt.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgrouppos.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.chernarusplus/mapgroupproto.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgeconomycore.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/cfgeconomycore.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgeffectarea.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/cfgenvironment.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgeventgroups.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgeventspawns.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfggameplay.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/cfgignorelist.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfglimitsdefinition.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfglimitsdefinitionuser.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgplayerspawnpoints.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/cfgplayerspawnpoints.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgrandompresets.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgspawnabletypes.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/cfgspawnabletypes.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/cfgundergroundtriggers.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/cfgweather.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/cfgweather.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/db/economy.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/db/events.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/db/events.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/db/globals.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/db/globals.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/db/messages.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/db/types.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.enoch/db/types.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/bear_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/cattle_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/fox_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/hare_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/hen_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/pig_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/red_deer_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/roe_deer_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/sheep_goat_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/wild_boar_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/wildboar_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/wolf_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/env/zombie_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Brena.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Dolnik.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Gieraltow.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Karlin.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Kolembrody.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Muratyn.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Nadbor.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_NWAF.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Radunin.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Tarnow.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Topolin.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/Airdrop_Random_Zapadlisko.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Borek.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Brena.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Dolnik.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Gieraltow.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Gliniska.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Kolembrody.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Konopki.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Polana.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Radacz.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Radunin.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Sarnowek.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Tarnow.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/missions/ContaminatedArea_Zapadlisko.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/p2pmarket/P2PTrader_1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/personalstorage/PersonalStorage_1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/AILocationSettings.defaults.json","True","False","none","False","False","False","False",".json","True"
"mpmissions/dayzOffline.enoch/expansion/settings/AILocationSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/AIPatrolSettings.defaults.json","True","False","none","False","False","False","False",".json","True"
"mpmissions/dayzOffline.enoch/expansion/settings/AIPatrolSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/BaseBuildingSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/MapSettings.defaults.json","True","False","none","False","False","False","False",".json","True"
"mpmissions/dayzOffline.enoch/expansion/settings/MapSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/MarketSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/P2PMarketSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/PersonalStorageSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/SafeZoneSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/settings/SpawnSettings.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/expansion/traderzones/World.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.enoch/mapclusterproto.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupcluster.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupcluster01.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupcluster02.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupcluster03.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupcluster04.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupcluster05.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupdirt.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgrouppos.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.enoch/mapgroupproto.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/build.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgeconomycore.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/cfgeconomycore.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgeffectarea.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/cfgenvironment.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgeventgroups.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgeventspawns.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfggameplay.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/cfgignorelist.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfglimitsdefinition.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfglimitsdefinitionuser.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgplayerspawnpoints.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/cfgplayerspawnpoints.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgrandompresets.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgspawnabletypes.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/cfgspawnabletypes.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/cfgundergroundtriggers.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/cfgweather.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/cfgweather.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/custom/bandit_types.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/custom/custom_types.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/custom/dayzdog_types.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/custom/expansion_spawnabletypes.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/custom/expansion_types_tuning.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/custom/expansion_types.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/db/economy.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/db/events.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/db/events.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/db/globals.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/db/globals.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/db/messages.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/db/types.defaults.xml","True","False","none","False","False","False","False",".xml","True"
"mpmissions/dayzOffline.sakhal/db/types.xml","True","True","own-write","True","True","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/bear_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/fox_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/hare_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/hen_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/reindeer_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/sheep_goat_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/wolf_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/env/zombie_territories.xml","True","False","none","False","False","False","False",".xml","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_Capital.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_CityAirfield.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_CityNorth.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_CitySouthEast.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_OreHarbor.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageEast2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageM3.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageM4.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorth1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorth2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorth3.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorth4.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorthEast1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorthEast2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorthWest1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageNorthWest2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageS2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageSW1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/Airdrop_Random_Settlement_VillageSW2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Burukan.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_CityNorth.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_OreHarbor.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageEast1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageEast2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageIcyRidge.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageM3.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorth1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorth2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorth3.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorthEast1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorthEast2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorthWest1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageNorthWest2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageS2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageSW1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Settlement_VillageSW2.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/missions/ContaminatedArea_Shantar.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/p2pmarket/P2PTrader_1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/personalstorage/PersonalStorage_1.json","True","False","none","False","False","False","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/settings/AILocations.draft.json","True","False","none","False","False","True","False",".json","False"
"mpmissions/dayzOffline.sakhal/expansion/settings/AILocationSettings.defaults.json","True","False","none","False","False","False","False",".json","True"
